Hour,mean,sum,count
0,19.473870056497177,27575,1416
1,16.70020746887967,16099,964
2,27.62019758507135,25162,911
3,18.021333333333335,13516,750
4,17.631632653061224,17279,980
5,20.845060893098783,61618,2956
6,21.677145981410607,79295,3658
7,24.1483451536643,81718,3384
8,27.049120679199515,89208,3298
9,21.54326782047521,73441,3409
10,22.010079413561392,72061,3274
11,21.7829307568438,67636,3105
12,18.10556438791733,56942,3145
13,20.004257583821182,75176,3758
14,18.11455739189495,80012,4417
15,17.66878422782037,80658,4565
16,18.066920796272765,85312,4722
17,18.202823845809053,81221,4462
18,19.955064367257712,82155,4117
19,22.185852519185854,66491,2997
20,20.647252747252747,56367,2730
21,25.078666096622488,58659,2339
22,23.100515463917525,44815,1940
23,21.71609195402299,37786,1740
