Line,Avg_Delay,Total_Delay,Incident_Count
08,22.0,22,1
09 BELLAMY,92.0,92,1
1 LINE SHUTTLE,3.3333333333333335,10,3
1 SHUTTLE,1.4,7,5
1 SHUTTLE BUS,0.0,0,1
10 VAN HORNE,26.0,468,18
100,3.0,6,2
100 FLEMINGDON PARK,8.8283378746594,6480,734
100 FLEMINGDON PARK (6,5.0,10,2
101 DOWNSVIEW PARK,47.11504424778761,5324,113
102,30.0,30,1
102 MARKHAM RD,10.0,10,1
102 MARKHAM ROAD,20.365723029839327,26618,1307
102 MARKHAM ROAD (D-BR,25.0,25,1
102 MARKHAM ROAD (RAD,0.0,0,1
102D MARKHAM ROAD,97.66666666666667,293,3
103 MT. PLEASANT NORTH,41.65,833,20
104 FAYWOOD,47.32258064516129,7335,155
105 DUFFERIN NORTH,18.424836601307188,2819,153
106 SENTIAL,15.0,15,1
106 SENTINEL,23.513812154696133,4256,181
107 YORK UNIVERSITY HE,59.414965986394556,8734,147
108 DRIFTWOOD,25.85164835164835,9410,364
109 RANEE,33.76548672566372,7631,226
109 RANEE - B BRANCH,0.0,0,1
11 BAYVIEW,24.297157622739018,9403,387
110 ISLINGTON SOUTH,27.3625,10945,400
111,12.0,12,1
111 EAST MALL,14.292,3573,250
112 WEST MALL,25.481865284974095,9836,386
113 DANFORTH,23.932692307692307,4978,208
114,12.0,12,1
114 QUEENS QUAY EAST,14.428571428571429,4141,287
115 SILVER HILLS,63.55,1271,20
116,7.0,7,1
116 MORNINGSIDE,12.016798418972332,12161,1012
117 ALNESS-CHESSWOOD,35.6,356,10
117 BIRCHMOUNT SOUTH,75.93939393939394,2506,33
118 THISTLE DOWN,35.395348837209305,6088,172
119 TORBARRIE,38.42424242424242,3804,99
12 KINGSTON ROAD,27.41117764471058,13733,501
120 CALVINGTON,30.580357142857142,3425,112
1202,23.0,46,2
121 ESPLANADE-RIVER,40.42801556420233,10390,257
122 GRAYDON HALL,20.301754385964912,5786,285
123 SHERWAY,22.90358744394619,10215,446
123 SHERWAY (RAD),0.0,0,1
123 SHERWAY - F,22.0,22,1
123C SHERWAY,30.0,30,1
124,17.0,17,1
124 SUNNYBROOK,16.012048192771083,2658,166
125 DREWRY,10.330708661417322,1312,127
126 CHRISTIE,40.66379310344828,4717,116
127 DAVENPORT,55.104166666666664,7935,144
128 STANLEY GREENE,26.357142857142858,1107,42
129 MCCOWAN NORTH,28.24013157894737,17170,608
129 MCCOWAN NORTH (A-B,61.0,61,1
13 AVENUE ROAD,60.63636363636363,10672,176
130 MIDDLEFIELD,27.067193675889328,6848,253
130 NEILSON,0.0,0,1
131,119.0,119,1
131 NUGGET,20.65644171779141,10101,489
132 MILNER,25.028985507246375,1727,69
133,12.0,12,1
133 NEILSON,18.919282511210763,12657,669
134,7.5,15,2
134 PROGRESS,33.82636655948553,10520,311
135 GERRARD,35.45794392523364,3794,107
14,22.0,22,1
14 GLENCAIRN,44.29665071770335,9258,209
14 GLENCAIRN / 28 BAYV,30.0,30,1
14 GLENCAIRN/ 28,30.0,30,1
147,19.0,19,1
149,23.363636363636363,257,11
149 - ETOBICOKE-BLOOR,25.0,25,1
149 ETOBICOKE,30.0,30,1
149 ETOBICOKE - BLOOR,25.833333333333332,155,6
149 ETOBICOKE BLOOR,23.88888888888889,215,9
149 ETOBICOKE- BLOOR,30.0,30,1
149 ETOBICOKE-BLOOR,24.746268656716417,3316,134
15 EVANS,25.974789915966387,3091,119
154 CURRAN HALL,33.75396825396825,8506,252
16 MCCOWAN,15.069444444444445,5425,360
160 BATHURST NORTH,34.7986798679868,10544,303
161 ROGERS ROAD,32.28212290502793,11557,358
162,557.0,557,1
162 LAWRENCE-DONWAY,113.6,14768,130
164 CASTELFIELD,25.0,25,1
164 CASTLEFIELD,32.0,1376,43
165,20.0,20,1
165 WESTON ROAD NORTH,13.276154571159283,14086,1061
166,18.75,75,4
166 TORYORK,24.5,147,6
167 PHARMACY NORTH,42.241379310344826,3675,87
168 SYMINGTON,23.3375,7468,320
169 HUNTINGWOOD,30.84375,5922,192
17 BIRCHMOUNT,24.6625,7892,320
171 MOUNT DENNIS,0.0,0,1
171 MT. DENNIS,30.75,1107,36
184 ANCASTER PARK,45.666666666666664,685,15
185 SHEPPARD CENTRAL,23.551020408163264,3462,147
189 STOCKYARDS,34.26829268292683,1405,41
19 BAY,47.34426229508197,11552,244
191 UNDERHILL,25.96,649,25
20 CLIFFSIDE,26.927756653992397,7082,263
200,0.0,0,1
200 TORONTO ZOO,18.636363636363637,205,11
201 BLUFFER'S PARK,19.862068965517242,576,29
202 CHERRY BEACH,23.594202898550726,1628,69
203,20.0,20,1
203 HIGH PARK,10.0,10,1
21 BRIMLEY,23.573684210526316,8958,380
22 COXWELL,18.83259911894273,4275,227
23 DAWES,15.370044052863436,3489,227
24 VICTORIA PARK,16.34734239802225,13225,809
24B VICTORIA PARK,89.0,89,1
25 DON MILLS,8.637362637362637,8646,1001
26 DUPONT,38.33884297520661,9278,242
28 BAYVIEW,237.0,237,1
28 BAYVIEW SOUTH,131.73076923076923,3425,26
29 DUFFERIN,25.75459221160911,35052,1361
29 DUFFERIN / 929 DUFF,54.0,54,1
29 DUFFERIN EXPRESS,8.0,8,1
29C DUFFERIN,426.8,2134,5
30 HIGH PARK,30.05,601,20
30 HIGH PARK NORTH,30.19047619047619,2536,84
300 BLOOR - DANFORTH,0.0,0,1
300 BLOOR DANFORTH,0.0,0,1
300 BLOOR-DANFORTH,15.021881838074398,6865,457
301,15.0,15,1
301 QUEEN NIGHT,0.0,0,1
302 KINGSTON ROAD-MCCO,65.85714285714286,1844,28
304,32.0,32,1
304 KING,137.0,137,1
305,8.0,8,1
306 COLLEGE NIGHT,14.0,14,1
307 BATHURST,23.102564102564102,1802,78
307 BATHURST NIGHT,20.0,20,1
307 BATHURST NIGHT BUS,91.0,91,1
31 GREENWOOD,25.953389830508474,6125,236
315 EVANS-BROWN'S LINE,46.0,230,5
32 (C) EGLINTON WEST,0.0,0,1
32 EGLINTON EAST,36.0,36,1
32 EGLINTON WEST,13.210807918673087,24691,1869
32 EGLINTON WEST (RAD),10.0,10,1
320 YONGE,8.208413001912046,4293,523
320 YONGE (RAD),0.0,0,1
322 COXWELL,41.285714285714285,1445,35
324 STEELES,0.0,0,1
324 VICTORIA PARK,111.94117647058823,1903,17
325 DON MILLS,43.787234042553195,2058,47
329 DUFFERIN,27.67924528301887,1467,53
32A EGLINTON WEST,14.0,14,1
32C EGLINTON WEST,17.5,35,2
33 FOREST HILL,73.9622641509434,7840,106
332 EGLINTON WEST,31.974358974358974,1247,39
334 EGLINTON EAST,37.73076923076923,2943,78
335 JANE,20.128205128205128,785,39
336 FINCH WEST,32.4375,2076,64
337 EVANS,30.0,30,1
337 ISLINGTON,33.470588235294116,569,17
339 FINCH EAST,16.023255813953487,689,43
34 EGLINTON EAST,15.768976897689768,14334,909
34 EGLINTON EAST - C B,140.0,280,2
340 JUNCTION,20.0,120,6
341 KEELE,24.42105263157895,464,19
343 KENNEDY,58.689655172413794,1702,29
34C EGLINTON EAST,196.0,196,1
35 JANE,16.509783728115345,16031,971
35 JANE (TRAINING BUS),0.0,0,1
35 JANE - B BRANCH,10.0,10,1
352 LAWRENCE WEST,26.745098039215687,1364,51
353 STEELES,22.306122448979593,1093,49
353 STEELES EAST,0.0,0,1
354 LAWRENCE EAST,56.166666666666664,2022,36
36 FINCH WEST,9.154093097913323,11406,1246
363 OSSINGTON,45.57692307692308,1185,26
365 PARLIAMENT,41.125,329,8
368,30.0,30,1
37 ISLINGTON,23.479136690647483,16318,695
37 ISLINGTON (A-BRANCH,38.0,38,1
37B ISLINGTON,325.0,325,1
38 HIGHLAND CREEK,18.25484764542936,13180,722
384 SHEPPARD WEST,22.545454545454547,248,11
385 SHEPPARD EAST,38.370370370370374,1036,27
386,26.0,78,3
386 SCARBOROUGH,90.0,180,2
39 FINCH EAST,21.24438202247191,15126,712
393,35.0,35,1
3935,12.0,12,1
395 YORK MILLS,25.583333333333332,614,24
396 WILSON,20.727272727272727,684,33
39B FINCH EAST,142.66666666666666,428,3
39C FINCH EAST,21.0,21,1
40 JUNCTION-DUNDAS WES,28.30211480362538,9368,331
41,4.0,8,2
41 KEELE,14.82089552238806,10923,737
42 CUMMER,27.661246612466126,10207,369
43 KENNEDY,18.3,14823,810
439,18.0,18,1
44 KIPLING SOUTH,12.21951219512195,6012,492
444,10.0,10,1
45 KIPLING,19.169042769857434,9412,491
46 MARTIN GROVE,21.709302325581394,5601,258
47,195.5,391,2
47 LANSDOWNE,22.36872812135356,19170,857
47 LANSDOWNE (RAD BUS),10.0,10,1
47 LANSDOWNE - A BRANC,150.0,150,1
48 RATHBURN,31.068493150684933,2268,73
49 BLOOR WEST,21.838709677419356,1354,62
50 BURNHAMTHORPE,18.491935483870968,2293,124
500,2.5,10,4
500 (512 ST CLAIR),5.0,5,1
501,5.0,20,4
501 QUEEN,11.8,118,10
501 REPLACEMENT,0.0,0,1
503,9.88888888888889,89,9
503 KINGSTON,6.0,18,3
503 KINGSTON RD,5.0,5,1
503 KINGSTON ROAD,9.636363636363637,106,11
504,7.285714285714286,153,21
504 KING,8.851851851851851,239,27
505,10.0,10,1
505 DUNDAS,6.666666666666667,20,3
506,6.75,54,8
506 CARLTON,63.25,253,4
506 RAD BUS,0.0,0,1
