Station,mean,sum,count
(NONE PROVIDED),22.0,22,1
1 ADRA VILLAWAY,15.0,15,1
1 BIJOU WALK,14.0,14,1
1 CARLAW AVENUE,10.0,10,1
1 CHALKFARM DR,12.0,12,1
1 CHISWICK AVE,6.0,6,1
1 ELMHURST AVE,15.0,15,1
1 FRONT ST,7.0,7,1
1 FRONT ST WEST,10.0,10,1
1 KINGSMILL,28.0,28,1
1 LAIRD DR,10.0,10,1
1 LILY CUP,26.0,26,1
1 MARMAC DR,20.0,20,1
1 MUIRBANK BLVD,20.0,20,1
1 O'CONNOR DR,0.0,0,1
1 QUEEN'S QUAY W,12.0,12,1
1 STRATTON AVE,15.0,15,1
1 WYNFORD DR,5.0,5,1
1-13 MILL STREET,60.0,60,1
10 GERVAIS DR,4.5,9,2
10 GERVAISE DR,8.0,8,1
10 GORDONRIDGE PLACE,0.0,0,1
10 LIVONIA PLACE (MORN,0.0,0,1
10 MARKHAM ROAD,10.0,10,1
10 SCRIVENER SQAURE,10.0,10,1
10 SUNNY GLENWAY,0.0,0,1
10 TEESDALE,0.0,0,1
10 WELLNESS WAY,15.0,15,1
100 BOROUGH DRIVE,22.0,22,1
100 HIGH PARK AVENUE,0.0,0,1
100 RIDGE HILL DR,30.0,30,1
100 STEELES AVENUE,7.0,7,1
1001 FINCH AVE,6.0,6,1
1001 FINCH AVE WEST,6.0,6,1
1001 LAWRENCE AVE E,14.0,14,1
1002 LAWRENCE AVE E,0.0,0,1
1002 LAWRENCE AVE EAST,20.0,20,1
1003 LAWRENCE AVE WEST,30.0,30,1
1006 KIPLING AVE,7.0,7,1
101 CHISWICK AVE,18.0,18,1
101 KENDLETON DRIVE,20.0,20,1
101 MILLIKEN BLVD,10.0,10,1
101 OAKDALE RD,9.0,9,1
1013 YONGE ST,22.0,22,1
1015 WILLIAM ALLEN ROA,5.0,5,1
1015 WILLIAM R ALLEN R,10.0,10,1
1015 WILLIAM R. ALLEN,10.0,10,1
10163 BATHURST STREET,0.0,0,1
1018 KENNEDY RD,20.0,20,1
